taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain BA6						KP970222		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain BAC						KP970223		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_4						MF002390		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_5						MF002391		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_8						MF002392		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_Q5_1						MF002385		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_Q5_13						MF002388		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_Q5_2						MF002386		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Ble_1_Q5_21						MF002389		
