taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;'HWB-2007 lineage'	genus	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;'HWB-2007 lineage';strain HWB-2007-Botswana						EU264561		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae	family		Corliss 1979					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia	genus		Jankowski 1964	Cyclogramma				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia;Furgasonia blochmanni	species		Faure-Fremiet 1967	Cyclogramma blochmanni				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia;Furgasonia blochmanni;strain Bernhard-1992						X65150		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia;Furgasonia blochmanni;strain FU							EP01016; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia;Furgasonia theresae	species		(Fabre-Domergue 1889) Foissner et al. 2002	Nassula theresae				no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia;Furgasonia tricirrata	species		(Gelei 1932) Jankowski 1964	Nassula tricirrata				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Furgasonia;strain cPFT4						LN870169		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Parafurgasonia	genus		Foissner & Adam 1981					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Parafurgasonia;Parafurgasonia sorex	species		(Penard 1922) Foissner & Adam 1981	Nassula sorex				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Urliella	genus		Foissner 1989					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Urliella;Urliella terricola	species		Foissner 1989					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Wolfkosia	genus		Foissner et al. 2002					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Furgasoniidae;Wolfkosia;Wolfkosia loeffleri	species		Foissner et al. 2002					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae	family		de Fromentel 1874					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula	genus		Ehrenberg 1834					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula flava	species		Claparède & Lachmann 1859					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula dragescoi	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula exigua	species		Kahl 1931	Nassula argentula				no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula granata	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula labiata	species		Kahl 1933					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula labiata;strain LWW09052701						KC832949; KC832957; KM222069		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula longinassa	species		Foissner 1980					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula parva	species		Kahl 1928					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula terricola	species		Foissner 1989					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula tuberculata	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula variabilis	species		Lynn et al. 2018					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;Nassula variabilis;strain CCAP 1650/4							EP01015; https://doi.org/10.6084/m9.figshare.12417881	type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassula;strain QD2						EU286810		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassulides	genus		Foissner et al. 2002					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassulides;Nassulides labiatus	species		(Kahl 1933) Foissner et al. 2002	Nassula labiata				no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Nassulides;Nassulides pictus	species		(Greeff 1888) Foissner et al. 2002	Nassula picta				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella	genus		Fryd-Versavel et al. 1980					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella;Naxella lateritia	species		(Claparède & Lachmann 1859) Fryd-Versavel et al. 1980	Nassula lateritia				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella;Naxella lucida	species		(Reuter 1961) Foissner et al. 2002	Nassula lucida				no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella;Naxella paralucida	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella;Naxella paralucida;strain LWY20150615-1						KY652918		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Nassulidae;Naxella;Naxella rosea	species		(Tucolescoa 1962) Foissner et al. 2002	Nassula rosea				no genetic data yet for this species
